institution,country,subject,subject_rank,world_rank,overall_score,academic_score,employer_score,faculty_score,citations_score
The University of Melbourne,Australia,Environmental Sciences,24,33.0,81.6,98.6,94.9,17.9,95.0
"University of California, Davis",United States,Environmental Sciences,25,102.0,58.2,64.8,51.0,27.1,68.7
Nanjing University,China (Mainland),Environmental Sciences,26,133.0,53.9,57.7,17.7,32.3,96.1
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Environmental Sciences,27,66.0,69.0,66.1,37.0,78.4,68.9
The University of Hong Kong,"Hong Kong SAR, China",Environmental Sciences,27,21.0,87.0,97.4,62.9,84.2,72.6
California Institute of Technology (Caltech),United States,Environmental Sciences,29,6.0,97.0,96.5,87.1,100.0,100.0
Cornell University,United States,Environmental Sciences,29,20.0,87.2,98.3,91.4,62.2,99.3
Shanghai Jiao Tong University,China (Mainland),Environmental Sciences,31,46.0,77.4,82.7,90.2,57.7,97.1
Seoul National University,Republic of Korea,Environmental Sciences,32,29.0,82.2,98.6,97.8,87.0,70.3
Texas A&M University,United States,Environmental Sciences,32,164.0,47.9,61.5,65.0,5.0,67.8
The University of Tokyo,Japan,Environmental Sciences,32,23.0,85.3,100.0,99.7,91.9,73.3
UCL,United Kingdom,Environmental Sciences,32,8.0,95.0,99.4,98.6,97.6,77.0
Georgia Institute of Technology,United States,Environmental Sciences,36,88.0,62.3,67.7,77.0,11.1,95.5
The University of Exeter,United Kingdom,Environmental Sciences,36,163.0,48.2,41.1,56.1,31.5,55.3
The University of New South Wales (UNSW Sydney),Australia,Environmental Sciences,38,45.0,78.0,89.0,91.1,16.8,97.6
Stockholm University,Sweden,Environmental Sciences,39,153.0,50.1,54.5,17.7,29.2,62.5
Princeton University,United States,Environmental Sciences,40,17.0,89.2,99.9,98.9,72.6,100.0
University of Illinois at Urbana-Champaign,United States,Environmental Sciences,41,85.0,63.6,85.6,60.9,9.5,88.7
The University of Edinburgh,United Kingdom,Environmental Sciences,42,15.0,89.5,98.0,97.2,81.1,70.1
The University of Manchester,United Kingdom,Environmental Sciences,42,28.0,82.3,95.1,97.7,63.1,59.0
Lund University,Sweden,Environmental Sciences,44,95.0,60.1,68.8,50.9,51.3,41.4
Technical University of Denmark,Denmark,Environmental Sciences,44,104.0,58.0,30.9,23.4,100.0,70.8
Duke University,United States,Environmental Sciences,46,50.0,74.8,86.1,79.8,100.0,41.2
Pennsylvania State University,United States,Environmental Sciences,47,93.0,60.8,76.7,69.8,32.6,67.7
Johns Hopkins University,United States,Environmental Sciences,48,24.0,85.1,87.9,47.2,100.0,87.3
Utrecht University,Netherlands,Environmental Sciences,48,113.0,56.3,65.8,26.6,35.1,79.6
University of Washington,United States,Environmental Sciences,50,80.0,64.7,84.8,48.6,10.8,100.0
University of Oxford,United Kingdom,Geography,1,4.0,98.4,100.0,100.0,100.0,90.0
The London School of Economics and Political Science (LSE),United Kingdom,Geography,2,56.0,72.3,69.0,98.3,37.8,84.6
University of Cambridge,United Kingdom,Geography,3,2.0,98.8,100.0,100.0,100.0,92.3
UCL,United Kingdom,Geography,4,8.0,95.0,99.4,98.6,97.6,77.0
"University of California, Berkeley (UCB)",United States,Geography,5,27.0,82.7,100.0,100.0,23.9,99.9
National University of Singapore (NUS),Singapore,Geography,6,11.0,92.7,99.5,94.1,79.8,91.8
"University of California, Los Angeles (UCLA)",United States,Geography,7,44.0,78.7,100.0,99.9,37.7,85.9
University of Amsterdam,Netherlands,Geography,8,58.0,71.1,82.7,42.3,26.7,97.3
Peking University,China (Mainland),Geography,9,12.0,91.3,99.3,96.5,87.3,96.7
The University of Hong Kong,"Hong Kong SAR, China",Geography,10,21.0,87.0,97.4,62.9,84.2,72.6
Durham University,United Kingdom,Geography,11,92.0,60.9,57.9,89.2,31.0,65.7
University of British Columbia,Canada,Geography,12,47.0,77.0,98.0,95.4,56.5,42.1
University of Toronto,Canada,Geography,13,35.0,81.5,99.6,98.3,65.6,43.5
King's College London,United Kingdom,Geography,14,37.0,81.2,88.8,83.2,74.5,60.5
Tsinghua University,China (Mainland),Geography,15,14.0,90.1,98.9,97.7,92.8,98.1
The University of Tokyo,Japan,Geography,16,23.0,85.3,100.0,99.7,91.9,73.3
The University of Melbourne,Australia,Geography,17,33.0,81.6,98.6,94.9,17.9,95.0
The University of Manchester,United Kingdom,Geography,18,28.0,82.3,95.1,97.7,63.1,59.0
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Geography,19,38.0,80.6,87.3,49.6,60.9,92.9
The Australian National University,Australia,Geography,20,30.0,82.1,93.6,70.1,38.0,99.3
The University of Edinburgh,United Kingdom,Geography,21,15.0,89.5,98.0,97.2,81.1,70.1
Utrecht University,Netherlands,Geography,22,113.0,56.3,65.8,26.6,35.1,79.6
Humboldt-Universität zu Berlin,Germany,Geography,23,131.0,54.1,90.1,55.6,8.7,29.5
University of Leeds,United Kingdom,Geography,23,86.0,62.8,70.2,78.4,41.6,47.8
The University of Sydney,Australia,Geography,25,41.0,79.6,96.2,91.7,15.6,92.1
Leiden University,Netherlands,Geography,26,132.0,54.1,68.1,23.4,22.2,65.8
University of Bristol,United Kingdom,Geography,27,62.0,70.0,74.4,84.1,58.3,55.3
Lund University,Sweden,Geography,28,95.0,60.1,68.8,50.9,51.3,41.4
University of Chicago,United States,Geography,29,10.0,93.2,99.2,92.2,92.9,86.8
University of Copenhagen,Denmark,Geography,29,82.0,64.1,72.8,36.6,100.0,26.0
KU Leuven,Belgium,Geography,31,76.0,66.0,83.8,53.0,7.7,92.7
Beijing Normal University,China (Mainland),Geography,32,,,,,,
Freie Universitaet Berlin,Germany,Geography,33,118.0,55.8,80.7,44.9,4.0,63.5
Nanjing University,China (Mainland),Geography,34,133.0,53.9,57.7,17.7,32.3,96.1
Université Paris 1 Panthéon-Sorbonne,France,Geography,34,,,,,,
Newcastle University,United Kingdom,Geography,36,122.0,54.8,46.2,83.8,39.1,58.9
Fudan University,China (Mainland),Geography,37,34.0,81.5,83.6,93.5,89.3,70.4
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Geography,37,66.0,69.0,66.1,37.0,78.4,68.9
The University of Sheffield,United Kingdom,Geography,39,96.0,59.5,58.7,53.5,59.4,46.9
The University of Exeter,United Kingdom,Geography,40,163.0,48.2,41.1,56.1,31.5,55.3
New York University (NYU),United States,Geography,41,39.0,80.3,95.9,99.0,98.1,28.9
University of Michigan-Ann Arbor,United States,Geography,41,25.0,84.4,98.5,91.3,88.9,62.5
Alma Mater Studiorum - University of Bologna,Italy,Geography,43,167.0,47.5,78.5,43.1,3.5,49.7
"Nanyang Technological University, Singapore (NTU)",Singapore,Geography,44,19.0,88.4,90.4,76.1,83.2,94.1
Wuhan University,China (Mainland),Geography,45,194.0,44.3,38.8,56.6,13.8,88.1
Stockholm University,Sweden,Geography,46,153.0,50.1,54.5,17.7,29.2,62.5
University of Vienna,Austria,Geography,47,151.0,50.6,69.4,55.3,24.2,14.1
Seoul National University,Republic of Korea,Geography,48,29.0,82.2,98.6,97.8,87.0,70.3
Cornell University,United States,Geography,49,20.0,87.2,98.3,91.4,62.2,99.3
University of Wisconsin-Madison,United States,Geography,49,83.0,63.7,82.4,48.1,70.6,41.9
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Geology,1,9.0,93.6,98.6,91.3,74.2,99.2
University of Oxford,United Kingdom,Geology,2,4.0,98.4,100.0,100.0,100.0,90.0
Harvard University,United States,Geology,3,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Geology,4,,,,,,
University of Cambridge,United Kingdom,Geology,5,2.0,98.8,100.0,100.0,100.0,92.3
California Institute of Technology (Caltech),United States,Geology,6,6.0,97.0,96.5,87.1,100.0,100.0
"University of California, Berkeley (UCB)",United States,Geology,7,27.0,82.7,100.0,100.0,23.9,99.9
University of Washington,United States,Geology,8,80.0,64.7,84.8,48.6,10.8,100.0
Columbia University,United States,Geology,9,22.0,86.7,99.7,98.1,100.0,47.2
Stanford University,United States,Geology,9,3.0,98.5,100.0,100.0,100.0,99.9
China University of Geosciences,China (Mainland),Geology,11,662.0,,4.5,1.3,58.8,20.1
Princeton University,United States,Geology,12,17.0,89.2,99.9,98.9,72.6,100.0
Peking University,China (Mainland),Geology,13,12.0,91.3,99.3,96.5,87.3,96.7
University of Colorado Boulder,United States,Geology,14,318.0,33.8,37.0,13.5,41.8,36.8
University of Leeds,United Kingdom,Geology,15,86.0,62.8,70.2,78.4,41.6,47.8
Delft University of Technology,Netherlands,Geology,16,61.0,70.0,71.6,80.2,34.5,84.4
The University of Tokyo,Japan,Geology,16,23.0,85.3,100.0,99.7,91.9,73.3
Tsinghua University,China (Mainland),Geology,18,14.0,90.1,98.9,97.7,92.8,98.1
Utrecht University,Netherlands,Geology,19,113.0,56.3,65.8,26.6,35.1,79.6
Wuhan University,China (Mainland),Geology,20,194.0,44.3,38.8,56.6,13.8,88.1
Imperial College London,United Kingdom,Geology,21,7.0,97.0,98.3,99.7,99.5,86.5
Nanjing University,China (Mainland),Geology,22,133.0,53.9,57.7,17.7,32.3,96.1
UCL,United Kingdom,Geology,22,8.0,95.0,99.4,98.6,97.6,77.0
Université Grenoble Alpes,France,Geology,22,317.0,33.8,43.3,12.5,8.3,51.1
"University of California, Los Angeles (UCLA)",United States,Geology,22,44.0,78.7,100.0,99.9,37.7,85.9
The Australian National University,Australia,Geology,26,30.0,82.1,93.6,70.1,38.0,99.3
"University of California, San Diego (UCSD)",United States,Geology,27,53.0,74.5,90.0,61.6,55.6,77.0
The University of New South Wales (UNSW Sydney),Australia,Geology,28,45.0,78.0,89.0,91.1,16.8,97.6
Yale University,United States,Geology,28,18.0,89.0,99.9,100.0,100.0,51.5
University of Toronto,Canada,Geology,30,35.0,81.5,99.6,98.3,65.6,43.5
Sorbonne University,France,Geology,31,60.0,70.1,90.0,41.7,40.6,86.3
University of Texas at Austin,United States,Geology,32,72.0,67.4,93.7,85.2,9.8,90.9
The University of Edinburgh,United Kingdom,Geology,33,15.0,89.5,98.0,97.2,81.1,70.1
The University of Melbourne,Australia,Geology,34,33.0,81.6,98.6,94.9,17.9,95.0
University of British Columbia,Canada,Geology,35,47.0,77.0,98.0,95.4,56.5,42.1
Wageningen University & Research,Netherlands,Geology,36,124.0,54.6,42.8,17.0,97.4,48.2
Curtin University,Australia,Geology,37,193.0,44.4,30.5,41.2,13.9,89.4
Pennsylvania State University,United States,Geology,37,93.0,60.8,76.7,69.8,32.6,67.7
The University of Exeter,United Kingdom,Geology,39,163.0,48.2,41.1,56.1,31.5,55.3
The University of Queensland,Australia,Geology,40,51.0,74.8,86.6,75.6,20.2,90.8
McGill University,Canada,Geology,41,31.0,81.9,93.3,93.6,68.9,59.6
"University of Maryland, College Park",United States,Geology,41,165.0,47.9,51.2,35.6,37.1,71.1
University of Bristol,United Kingdom,Geology,43,62.0,70.0,74.4,84.1,58.3,55.3
"Nanyang Technological University, Singapore (NTU)",Singapore,Geology,44,19.0,88.4,90.4,76.1,83.2,94.1
Texas A&M University,United States,Geology,44,164.0,47.9,61.5,65.0,5.0,67.8
The University of Hong Kong,"Hong Kong SAR, China",Geology,46,21.0,87.0,97.4,62.9,84.2,72.6
Université PSL,France,Geology,47,26.0,83.8,74.4,97.0,99.8,84.1
The University of Arizona,United States,Geology,48,263.0,37.8,39.6,22.4,67.6,21.5
The University of Western Australia,Australia,Geology,49,90.0,61.7,55.6,49.9,21.8,98.9
Colorado State University,United States,Geology,50,408.0,27.9,19.1,19.2,63.5,20.8
University of Chinese Academy of Sciences,China (Mainland),Geology,50,,,,,,
University of Oslo,Norway,Geology,50,101.0,58.7,54.9,14.5,83.8,62.7
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Geophysics,1,9.0,93.6,98.6,91.3,74.2,99.2
University of Oxford,United Kingdom,Geophysics,2,4.0,98.4,100.0,100.0,100.0,90.0
Harvard University,United States,Geophysics,3,5.0,97.6,100.0,100.0,99.4,100.0
California Institute of Technology (Caltech),United States,Geophysics,4,6.0,97.0,96.5,87.1,100.0,100.0
Massachusetts Institute of Technology (MIT),United States,Geophysics,4,,,,,,
University of Cambridge,United Kingdom,Geophysics,6,2.0,98.8,100.0,100.0,100.0,92.3
Columbia University,United States,Geophysics,7,22.0,86.7,99.7,98.1,100.0,47.2
"University of California, Berkeley (UCB)",United States,Geophysics,8,27.0,82.7,100.0,100.0,23.9,99.9
University of Washington,United States,Geophysics,9,80.0,64.7,84.8,48.6,10.8,100.0
Stanford University,United States,Geophysics,10,3.0,98.5,100.0,100.0,100.0,99.9
University of Colorado Boulder,United States,Geophysics,11,318.0,33.8,37.0,13.5,41.8,36.8
Princeton University,United States,Geophysics,12,17.0,89.2,99.9,98.9,72.6,100.0
Delft University of Technology,Netherlands,Geophysics,13,61.0,70.0,71.6,80.2,34.5,84.4
University of Leeds,United Kingdom,Geophysics,14,86.0,62.8,70.2,78.4,41.6,47.8
Peking University,China (Mainland),Geophysics,15,12.0,91.3,99.3,96.5,87.3,96.7
The University of Tokyo,Japan,Geophysics,16,23.0,85.3,100.0,99.7,91.9,73.3
Utrecht University,Netherlands,Geophysics,17,113.0,56.3,65.8,26.6,35.1,79.6
Tsinghua University,China (Mainland),Geophysics,18,14.0,90.1,98.9,97.7,92.8,98.1
Wuhan University,China (Mainland),Geophysics,18,194.0,44.3,38.8,56.6,13.8,88.1
Imperial College London,United Kingdom,Geophysics,20,7.0,97.0,98.3,99.7,99.5,86.5
"University of California, San Diego (UCSD)",United States,Geophysics,20,53.0,74.5,90.0,61.6,55.6,77.0
The Australian National University,Australia,Geophysics,22,30.0,82.1,93.6,70.1,38.0,99.3
Université Grenoble Alpes,France,Geophysics,23,317.0,33.8,43.3,12.5,8.3,51.1
"University of California, Los Angeles (UCLA)",United States,Geophysics,24,44.0,78.7,100.0,99.9,37.7,85.9
Nanjing University,China (Mainland),Geophysics,25,133.0,53.9,57.7,17.7,32.3,96.1
UCL,United Kingdom,Geophysics,25,8.0,95.0,99.4,98.6,97.6,77.0
Sorbonne University,France,Geophysics,27,60.0,70.1,90.0,41.7,40.6,86.3
University of Texas at Austin,United States,Geophysics,28,72.0,67.4,93.7,85.2,9.8,90.9
University of British Columbia,Canada,Geophysics,29,47.0,77.0,98.0,95.4,56.5,42.1
University of Toronto,Canada,Geophysics,29,35.0,81.5,99.6,98.3,65.6,43.5
The University of New South Wales (UNSW Sydney),Australia,Geophysics,31,45.0,78.0,89.0,91.1,16.8,97.6
Yale University,United States,Geophysics,32,18.0,89.0,99.9,100.0,100.0,51.5
The University of Edinburgh,United Kingdom,Geophysics,33,15.0,89.5,98.0,97.2,81.1,70.1
Wageningen University & Research,Netherlands,Geophysics,33,124.0,54.6,42.8,17.0,97.4,48.2
The University of Melbourne,Australia,Geophysics,35,33.0,81.6,98.6,94.9,17.9,95.0
Pennsylvania State University,United States,Geophysics,36,93.0,60.8,76.7,69.8,32.6,67.7
McGill University,Canada,Geophysics,38,31.0,81.9,93.3,93.6,68.9,59.6
University of Bristol,United Kingdom,Geophysics,38,62.0,70.0,74.4,84.1,58.3,55.3
Texas A&M University,United States,Geophysics,40,164.0,47.9,61.5,65.0,5.0,67.8
"University of Maryland, College Park",United States,Geophysics,40,165.0,47.9,51.2,35.6,37.1,71.1
Cornell University,United States,Geophysics,42,20.0,87.2,98.3,91.4,62.2,99.3
Curtin University,Australia,Geophysics,42,193.0,44.4,30.5,41.2,13.9,89.4
"Nanyang Technological University, Singapore (NTU)",Singapore,Geophysics,42,19.0,88.4,90.4,76.1,83.2,94.1
Université PSL,France,Geophysics,42,26.0,83.8,74.4,97.0,99.8,84.1
Colorado State University,United States,Geophysics,46,408.0,27.9,19.1,19.2,63.5,20.8
The University of Hong Kong,"Hong Kong SAR, China",Geophysics,46,21.0,87.0,97.4,62.9,84.2,72.6
The University of Queensland,Australia,Geophysics,46,51.0,74.8,86.6,75.6,20.2,90.8
The University of Arizona,United States,Geophysics,49,263.0,37.8,39.6,22.4,67.6,21.5
University of Chinese Academy of Sciences,China (Mainland),Geophysics,50,,,,,,
Royal College of Art,United Kingdom,History of Art,1,,,,,,
National University of Singapore (NUS),Singapore,History of Art,2,11.0,92.7,99.5,94.1,79.8,91.8
Tsinghua University,China (Mainland),History of Art,3,14.0,90.1,98.9,97.7,92.8,98.1
The New School,United States,History of Art,4,527.0,,15.6,7.4,53.8,2.6
The Courtauld Institute of Art,United Kingdom,History of Art,5,,,,,,
Rhode Island School of Design (RISD),United States,History of Art,6,,,,,,
Harvard University,United States,History of Art,7,5.0,97.6,100.0,100.0,99.4,100.0
Tongji University,China (Mainland),History of Art,8,212.0,42.4,33.2,10.0,26.6,87.5
Universita' IUAV di Venezia,Italy,History of Art,9,,,,,,
Pratt Institute,United States,History of Art,10,,,,,,
Politecnico di Torino,Italy,History of Art,11,325.0,33.1,36.6,47.3,2.5,54.0
The University of Hong Kong,"Hong Kong SAR, China",History of Art,12,21.0,87.0,97.4,62.9,84.2,72.6
University of Cambridge,United Kingdom,History of Art,13,2.0,98.8,100.0,100.0,100.0,92.3
Yale University,United States,History of Art,14,18.0,89.0,99.9,100.0,100.0,51.5
Tokyo Institute of Technology (Tokyo Tech),Japan,History of Art,15,55.0,72.5,74.1,93.4,81.5,65.9
University of Oxford,United Kingdom,History of Art,15,4.0,98.4,100.0,100.0,100.0,90.0
Columbia University,United States,History of Art,17,22.0,86.7,99.7,98.1,100.0,47.2
Sapienza University of Rome,Italy,History of Art,18,171.0,46.8,78.0,36.6,4.5,50.2
"University of California, Berkeley (UCB)",United States,History of Art,19,27.0,82.7,100.0,100.0,23.9,99.9
Cornell University,United States,History of Art,20,20.0,87.2,98.3,91.4,62.2,99.3
Architectural Association School of Architecture,United Kingdom,History of Art,21,,,,,,
Glasgow School of Art (GSA),United Kingdom,History of Art,21,,,,,,
"Goldsmiths, University of London",United Kingdom,History of Art,21,516.0,,16.2,7.5,18.3,17.4
KTH Royal Institute of Technology,Sweden,History of Art,21,,,,,,
"Nanyang Technological University, Singapore (NTU)",Singapore,History of Art,21,19.0,88.4,90.4,76.1,83.2,94.1
New York University (NYU),United States,History of Art,21,39.0,80.3,95.9,99.0,98.1,28.9
Peking University,China (Mainland),History of Art,21,12.0,91.3,99.3,96.5,87.3,96.7
Princeton University,United States,History of Art,21,17.0,89.2,99.9,98.9,72.6,100.0
Seoul National University,Republic of Korea,History of Art,21,29.0,82.2,98.6,97.8,87.0,70.3
Southeast University,China (Mainland),History of Art,21,463.0,25.5,11.1,6.0,29.5,68.7
Taylor's University,Malaysia,History of Art,21,285.0,36.1,21.5,80.0,55.1,6.6
Technical University of Munich,Germany,History of Art,21,49.0,76.4,84.0,96.8,96.4,25.8
Technische Universität Berlin (TU Berlin),Germany,History of Art,21,158.0,49.3,55.1,64.9,48.5,23.6
Tecnológico de Monterrey,Mexico,History of Art,21,170.0,47.1,48.8,92.8,72.9,2.2
The Australian National University,Australia,History of Art,21,30.0,82.1,93.6,70.1,38.0,99.3
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",History of Art,21,38.0,80.6,87.3,49.6,60.9,92.9
The University of Melbourne,Australia,History of Art,21,33.0,81.6,98.6,94.9,17.9,95.0
The University of New South Wales (UNSW Sydney),Australia,History of Art,21,45.0,78.0,89.0,91.1,16.8,97.6
The University of Sydney,Australia,History of Art,21,41.0,79.6,96.2,91.7,15.6,92.1
The University of Tokyo,Japan,History of Art,21,23.0,85.3,100.0,99.7,91.9,73.3
Tianjin University,China (Mainland),History of Art,21,308.0,34.4,18.3,4.3,31.2,92.0
UCL,United Kingdom,History of Art,21,8.0,95.0,99.4,98.6,97.6,77.0
Universidad Nacional Autónoma de México (UNAM),Mexico,History of Art,21,105.0,58.0,96.0,95.1,43.2,2.9
Universidad Politécnica de Madrid (UPM),Spain,History of Art,21,489.0,24.6,30.8,50.1,17.4,10.8
Universidade de São Paulo,Brazil,History of Art,21,115.0,56.1,91.8,69.9,17.4,40.6
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,History of Art,21,344.0,31.4,32.5,25.8,45.1,24.7
Université Paris 1 Panthéon-Sorbonne,France,History of Art,21,,,,,,
"University of California, Los Angeles (UCLA)",United States,History of Art,21,44.0,78.7,100.0,99.9,37.7,85.9
University of Pennsylvania,United States,History of Art,21,13.0,90.6,96.5,92.5,99.9,70.9
Waseda University,Japan,History of Art,21,206.0,42.8,58.7,96.5,27.2,4.4
Harvard University,United States,History$,1,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,History$,2,4.0,98.4,100.0,100.0,100.0,90.0
University of Cambridge,United Kingdom,History$,3,2.0,98.8,100.0,100.0,100.0,92.3
Yale University,United States,History$,4,18.0,89.0,99.9,100.0,100.0,51.5
Peking University,China (Mainland),History$,5,12.0,91.3,99.3,96.5,87.3,96.7
Stanford University,United States,History$,6,3.0,98.5,100.0,100.0,100.0,99.9
The London School of Economics and Political Science (LSE),United Kingdom,History$,6,56.0,72.3,69.0,98.3,37.8,84.6
"University of California, Berkeley (UCB)",United States,History$,8,27.0,82.7,100.0,100.0,23.9,99.9
Columbia University,United States,History$,9,22.0,86.7,99.7,98.1,100.0,47.2
Princeton University,United States,History$,9,17.0,89.2,99.9,98.9,72.6,100.0
"University of California, Los Angeles (UCLA)",United States,History$,11,44.0,78.7,100.0,99.9,37.7,85.9
University of Chicago,United States,History$,12,10.0,93.2,99.2,92.2,92.9,86.8
The University of Edinburgh,United Kingdom,History$,13,15.0,89.5,98.0,97.2,81.1,70.1
The University of Tokyo,Japan,History$,13,23.0,85.3,100.0,99.7,91.9,73.3
UCL,United Kingdom,History$,15,8.0,95.0,99.4,98.6,97.6,77.0
University of Toronto,Canada,History$,16,35.0,81.5,99.6,98.3,65.6,43.5
National University of Singapore (NUS),Singapore,History$,17,11.0,92.7,99.5,94.1,79.8,91.8
Leiden University,Netherlands,History$,18,132.0,54.1,68.1,23.4,22.2,65.8
Université Paris 1 Panthéon-Sorbonne,France,History$,19,,,,,,
University of Michigan-Ann Arbor,United States,History$,20,25.0,84.4,98.5,91.3,88.9,62.5
University of British Columbia,Canada,History$,21,47.0,77.0,98.0,95.4,56.5,42.1
University of Pennsylvania,United States,History$,21,13.0,90.6,96.5,92.5,99.9,70.9
New York University (NYU),United States,History$,23,39.0,80.3,95.9,99.0,98.1,28.9
Kyoto University,Japan,History$,24,36.0,81.4,98.6,98.9,94.8,54.2
King's College London,United Kingdom,History$,25,37.0,81.2,88.8,83.2,74.5,60.5
Fudan University,China (Mainland),History$,26,34.0,81.5,83.6,93.5,89.3,70.4
The Australian National University,Australia,History$,26,30.0,82.1,93.6,70.1,38.0,99.3
Seoul National University,Republic of Korea,History$,28,29.0,82.2,98.6,97.8,87.0,70.3
The University of Hong Kong,"Hong Kong SAR, China",History$,29,21.0,87.0,97.4,62.9,84.2,72.6
Freie Universitaet Berlin,Germany,History$,30,118.0,55.8,80.7,44.9,4.0,63.5
The University of Manchester,United Kingdom,History$,31,28.0,82.3,95.1,97.7,63.1,59.0
Johns Hopkins University,United States,History$,32,24.0,85.1,87.9,47.2,100.0,87.3
Ludwig-Maximilians-Universität München,Germany,History$,33,59.0,70.4,92.6,75.7,56.0,45.5
Cornell University,United States,History$,34,20.0,87.2,98.3,91.4,62.2,99.3
National Taiwan University (NTU),Taiwan,History$,35,77.0,65.7,92.3,92.6,33.4,49.7
Durham University,United Kingdom,History$,36,92.0,60.9,57.9,89.2,31.0,65.7
University of Amsterdam,Netherlands,History$,37,58.0,71.1,82.7,42.3,26.7,97.3
"University of North Carolina, Chapel Hill",United States,History$,37,103.0,58.2,65.5,44.7,80.4,46.6
The University of Sydney,Australia,History$,39,41.0,79.6,96.2,91.7,15.6,92.1
The University of Melbourne,Australia,History$,40,33.0,81.6,98.6,94.9,17.9,95.0
Humboldt-Universität zu Berlin,Germany,History$,41,131.0,54.1,90.1,55.6,8.7,29.5
The University of Warwick,United Kingdom,History$,42,64.0,69.1,71.8,89.3,43.1,63.1
Ruprecht-Karls-Universität Heidelberg,Germany,History$,43,65.0,69.0,78.7,40.3,99.8,41.1
McGill University,Canada,History$,44,31.0,81.9,93.3,93.6,68.9,59.6
University of Vienna,Austria,History$,44,151.0,50.6,69.4,55.3,24.2,14.1
University of St Andrews,United Kingdom,History$,46,97.0,59.5,46.2,67.6,61.1,58.9
University of Wisconsin-Madison,United States,History$,47,83.0,63.7,82.4,48.1,70.6,41.9
Universidad Nacional Autónoma de México (UNAM),Mexico,History$,48,105.0,58.0,96.0,95.1,43.2,2.9
University of Glasgow,United Kingdom,History$,49,81.0,64.6,75.1,75.1,50.5,34.7
Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,History$,50,,,,,,
EHL Hospitality Business School,Switzerland,Hospitality,1,,,,,,
Les Roches Global Hospitality Education,Switzerland,Hospitality,2,,,,,,
SHMS - Swiss Hotel Management School,Switzerland,Hospitality,3,,,,,,
University of Nevada - Las Vegas,United States,Hospitality,4,,,,,,
Cesar Ritz Colleges,Switzerland,Hospitality,5,,,,,,
Glion Institute of Higher Education,Switzerland,Hospitality,6,,,,,,
Hotel Institute Montreux - HIM,Switzerland,Hospitality,7,,,,,,
Culinary Arts Academy Switzerland,Switzerland,Hospitality,8,,,,,,
Hotelschool The Hague,Netherlands,Hospitality,9,,,,,,
The Emirates Academy of Hospitality Management (EAHM),United Arab Emirates,Hospitality,10,,,,,,
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Hospitality,11,66.0,69.0,66.1,37.0,78.4,68.9
Hotel School Vatel,France,Hospitality,12,,,,,,
Macao University of Tourism (UTM),"Macao SAR, China",Hospitality,13,,,,,,
Escuela Universitaria de hosteleria y turismo de Sant Pol de Mar,Spain,Hospitality,14,,,,,,
Cornell University | School of Hotel Administration,United States,Hospitality,15,,,,,,
University of Surrey,United Kingdom,Hospitality,16,306.0,34.7,20.4,28.1,21.5,49.6
"IMI-Luzern - IRN Hotel Management School, Switzerland",Switzerland,Hospitality,17,,,,,,
University of Central Florida,United States,Hospitality,18,958.0,,14.2,25.7,2.9,26.0
"Hotel and Tourism Management Institute, Switzerland",Switzerland,Hospitality,19,,,,,,
Taylor's University,Malaysia,Hospitality,20,285.0,36.1,21.5,80.0,55.1,6.6
Oxford Brookes University,United Kingdom,Hospitality,21,438.0,26.5,27.0,41.4,13.0,9.2
Breda University of Applied Sciences,Netherlands,Hospitality,22,,,,,,
Bournemouth University,United Kingdom,Hospitality,23,815.0,,5.2,11.1,5.9,21.1
Pennsylvania State University | School of Hospitality Management,United States,Hospitality,23,,,,,,
Griffith University,Australia,Hospitality,25,301.0,35.2,26.1,16.6,7.6,71.7
The University of Queensland,Australia,Hospitality,26,51.0,74.8,86.6,75.6,20.2,90.8
Blue Mountains IRN Hotel Management School (BMIHMS),Australia,Hospitality,27,,,,,,
"Nanyang Technological University, Singapore (NTU)",Singapore,Hospitality,28,19.0,88.4,90.4,76.1,83.2,94.1
Sejong University,Republic of Korea,Hospitality,29,,,,,,
Ecole Hoteliere de Geneve,Switzerland,Hospitality,30,,,,,,
Florida International University,United States,Hospitality,31,763.0,,14.3,24.2,11.2,16.0
Business and hotel management school - bhms,Switzerland,Hospitality,32,,,,,,
Virginia Polytechnic Institute and State University,United States,Hospitality,32,367.0,30.2,28.5,25.6,20.0,38.5
Michigan State University,United States,Hospitality,34,159.0,48.9,60.5,61.4,12.9,58.9
University of Houston,United States,Hospitality,34,800.0,,14.4,15.8,4.4,35.2
Management and Science University,Malaysia,Hospitality,36,620.0,,10.7,14.7,30.6,1.5
University of Florida,United States,Hospitality,37,188.0,45.3,48.5,47.0,71.4,26.4
University of Derby,United Kingdom,Hospitality,38,1164.0,,3.8,4.6,11.3,4.2
